汉字,笔顺,名称,UCS,image_paths
一,1,1,04E00,"pic/noto_serif/一.png,pic/source_han_sans/一.png,pic/AlibabaPuHuiTi/一.png,pic/kaiti/一.png,pic/hanyi_senty_wen/一.png"
乙,5,2,04E59,"pic/noto_serif/乙.png,pic/source_han_sans/乙.png,pic/AlibabaPuHuiTi/乙.png,pic/kaiti/乙.png,pic/hanyi_senty_wen/乙.png"
二,1 1,3,04E8C,"pic/noto_serif/二.png,pic/source_han_sans/二.png,pic/AlibabaPuHuiTi/二.png,pic/kaiti/二.png,pic/hanyi_senty_wen/二.png"
十,1 2,4,05341,"pic/noto_serif/十.png,pic/source_han_sans/十.png,pic/AlibabaPuHuiTi/十.png,pic/kaiti/十.png,pic/hanyi_senty_wen/十.png"
丁,1 2,5,04E01,"pic/noto_serif/丁.png,pic/source_han_sans/丁.png,pic/AlibabaPuHuiTi/丁.png,pic/kaiti/丁.png,pic/hanyi_senty_wen/丁.png"
厂,1 3,6,05382,"pic/noto_serif/厂.png,pic/source_han_sans/厂.png,pic/AlibabaPuHuiTi/厂.png,pic/kaiti/厂.png,pic/hanyi_senty_wen/厂.png"
七,1 5,7,04E03,"pic/noto_serif/七.png,pic/source_han_sans/七.png,pic/AlibabaPuHuiTi/七.png,pic/kaiti/七.png,pic/hanyi_senty_wen/七.png"
卜,2 4,8,0535C,"pic/noto_serif/卜.png,pic/source_han_sans/卜.png,pic/AlibabaPuHuiTi/卜.png,pic/kaiti/卜.png,pic/hanyi_senty_wen/卜.png"
八,3 4,9,0516B,"pic/noto_serif/八.png,pic/source_han_sans/八.png,pic/AlibabaPuHuiTi/八.png,pic/kaiti/八.png,pic/hanyi_senty_wen/八.png"
人,3 4,10,04EBA,"pic/noto_serif/人.png,pic/source_han_sans/人.png,pic/AlibabaPuHuiTi/人.png,pic/kaiti/人.png,pic/hanyi_senty_wen/人.png"
入,3 4,11,05165,"pic/noto_serif/入.png,pic/source_han_sans/入.png,pic/AlibabaPuHuiTi/入.png,pic/kaiti/入.png,pic/hanyi_senty_wen/入.png"
儿,3 5,12,0513F,"pic/noto_serif/儿.png,pic/source_han_sans/儿.png,pic/AlibabaPuHuiTi/儿.png,pic/kaiti/儿.png,pic/hanyi_senty_wen/儿.png"
匕,3 5,13,05315,"pic/noto_serif/匕.png,pic/source_han_sans/匕.png,pic/AlibabaPuHuiTi/匕.png,pic/kaiti/匕.png,pic/hanyi_senty_wen/匕.png"
几,3 5,14,051E0,"pic/noto_serif/几.png,pic/source_han_sans/几.png,pic/AlibabaPuHuiTi/几.png,pic/kaiti/几.png,pic/hanyi_senty_wen/几.png"
