汉字,笔顺,"《字表》
序号",UCS
汉字,,《字表》序号,UCS
"一
1 画",1,0001,04E00
"乙
1 画",5,0002,04E59
"二
2 画",1 1,0003,04E8C
"十
2 画",1 2,0004,05341
"丁
2 画",1 2,0005,04E01
"厂
2 画",1 3,0006,05382
"七
2 画",1 5,0007,04E03
"卜
2 画",2 4,0008,0535C
"八
2 画",3 4,0009,0516B
"人
2 画",3 4,0010,04EBA
"入
2 画",3 4,0011,05165
"乂
2 画",3 4,3501,04E42
"儿
2 画",3 5,0012,0513F
"匕
2 画",3 5,0013,05315
"几
2 画",3 5,0014,051E0
"九
2 画",3 5,0015,04E5D
"刁
2 画",5 1,0016,05201
"了
2 画",5 2,0017,04E86
"刀
2 画",5 3,0018,05200
"力
2 画",5 3,0019,0529B
"乃
2 画",5 3,0020,04E43
"又
2 画",5 4,0021,053C8
"乜
2 画",5 5,3502,04E5C
"三
3 画",1 1 1,0022,04E09
"干
3 画",1 1 2,0023,05E72
"亍
3 画",1 1 2,6501,04E8D
汉字,,《字表》序号,UCS
"于
3 画",1 1 2,0024,04E8E
"亏
3 画",1 1 5,0025,04E8F
"工
3 画",1 2 1,0026,05DE5
"土
3 画",1 2 1,0027,0571F
"士
3 画",1 2 1,0028,058EB
"才
3 画",1 2 3,0029,0624D
"下
3 画",1 2 4,0030,04E0B
"寸
3 画",1 2 4,0031,05BF8
"大
3 画",1 3 4,0032,05927
"丈
3 画",1 3 4,0033,04E08
"兀
3 画",1 3 5,3503,05140
"尢
3 画",1 3 5,6502,05C22
"与
3 画",1 5 1,0034,04E0E
"万
3 画",1 5 3,0035,04E07
"弋
3 画",1 5 4,3504,05F0B
"上
3 画",2 1 1,0036,04E0A
"小
3 画",2 3 4,0037,05C0F
"口
3 画",2 5 1,0038,053E3
"山
3 画",2 5 2,0039,05C71
"巾
3 画",2 5 2,0040,05DFE
"千
3 画",3 1 2,0041,05343
"乞
3 画",3 1 5,0042,04E5E
"川
3 画",3 2 2,0043,05DDD
"亿
3 画",3 2 5,0044,04EBF
"彳
3 画",3 3 2,6503,05F73
"个
3 画",3 4 2,0045,04E2A
汉字,,《字表》序号,UCS
"夕
3 画",3 5 4,0046,05915
